Title,URL,Volume Issue,Vol Issue Year
Back to the Order: Partial orders in streaming conformance checking,https://www.sciencedirect.com/science/article/pii/S030643792500050X,Volume 133,August–September 2025
Class Representatives Selection in non-metric spaces for nearest prototype classification,https://www.sciencedirect.com/science/article/pii/S0306437925000481,Volume 133,August–September 2025
Training-free sparse representations of dense vectors for scalable information retrieval,https://www.sciencedirect.com/science/article/pii/S0306437925000511,Volume 133,August–September 2025
An Alternating Optimization Scheme for Binary Sketches,https://www.sciencedirect.com/science/article/pii/S030643792500047X,Volume 133,August–September 2025
"Finding HSP neighbors via an exact, hierarchical approach",https://www.sciencedirect.com/science/article/pii/S0306437925000493,Volume 133,August–September 2025
Parameterization-free clustering with sparse data observers,https://www.sciencedirect.com/science/article/pii/S0306437925000468,Volume 133,August–September 2025
Towards Multi-Faceted Visual Process Analytics,https://www.sciencedirect.com/science/article/pii/S0306437925000444,Volume 133,August–September 2025
Timeline-based process discovery,https://www.sciencedirect.com/science/article/pii/S0306437925000523,Volume 133,August–September 2025
Substring compression variations and LZ78-Derivates,https://www.sciencedirect.com/science/article/pii/S0306437925000389,Volume 133,August–September 2025
An interpretable deep fusion framework for event log repair,https://www.sciencedirect.com/science/article/pii/S030643792500033X,Volume 132,July 2025
A hierarchical transformer-based network for multivariate time series classification,https://www.sciencedirect.com/science/article/pii/S0306437925000213,Volume 132,July 2025
RATS: A resource allocator for optimizing the execution of tumor simulations over HPC infrastructures,https://www.sciencedirect.com/science/article/pii/S0306437925000237,Volume 132,July 2025
Context-aware automated ICD coding: A semantic-driven approach,https://www.sciencedirect.com/science/article/pii/S0306437925000249,Volume 132,July 2025
The effects of data quality on machine learning performance on tabular data,https://www.sciencedirect.com/science/article/pii/S0306437925000341,Volume 132,July 2025
When GDD meets GNN: A knowledge-driven neural connection for effective entity resolution in property graphs,https://www.sciencedirect.com/science/article/pii/S0306437925000365,Volume 132,July 2025
Hierarchical aspect-based sentiment analysis using semantic capsuled multi-granular networks,https://www.sciencedirect.com/science/article/pii/S0306437925000407,Volume 132,July 2025
A JSON document algebra for query optimization,https://www.sciencedirect.com/science/article/pii/S0306437925000225,Volume 132,July 2025
Special Issue: Best Papers of the BPM 2023 Conference,https://www.sciencedirect.com/science/article/pii/S0306437925000377,Volume 132,July 2025
Capturing end-to-end provenance for machine learning pipelines,https://www.sciencedirect.com/science/article/pii/S0306437924001534,Volume 132,July 2025
Process mining over sensor data: Goal recognition for powered transhumeral prostheses,https://www.sciencedirect.com/science/article/pii/S0306437925000250,Volume 132,July 2025
Resource allocation in business process executions—A systematic literature study,https://www.sciencedirect.com/science/article/pii/S0306437925000262,Volume 132,July 2025
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437925000304,Volume 131,June 2025
Process-driven design of cloud data platforms,https://www.sciencedirect.com/science/article/pii/S0306437925000122,Volume 131,June 2025
Scalable and accurate online multivariate anomaly detection,https://www.sciencedirect.com/science/article/pii/S0306437925000092,Volume 131,June 2025
Federated conformance checking,https://www.sciencedirect.com/science/article/pii/S0306437925000109,Volume 131,June 2025
Enhancing cross-lingual text classification through linguistic and interpretability-guided attack strategies,https://www.sciencedirect.com/science/article/pii/S0306437925000110,Volume 131,June 2025
Advancing EHR analysis: Predictive medication modeling using LLMs,https://www.sciencedirect.com/science/article/pii/S0306437925000134,Volume 131,June 2025
Special issue: BPM 2022 Selected papers in Foundations and Engineering,https://www.sciencedirect.com/science/article/pii/S0306437925000201,Volume 131,June 2025
Advances in databases and information systems — Selected papers from ADBIS 2023,https://www.sciencedirect.com/science/article/pii/S0306437924001674,Volume 131,June 2025
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437925000171,Volume 130,April 2025
